fips,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16
5141,16418,3.107,3.649,50.283,7,32.975,18.7,12.2,33,35.6,24.4,-56.8848469,-53.893
46087,5619,3.072,2.625,49.848,2.4,57.741,8.7,22.6,24.3,28.5,2.3,-44.7931034,-45.265
26065,277633,7.668,23.287,51.473,4.4,45.84,8.7,36.5,20,30.4,39.6,32.2193012,27.654
5005,42157,2.036,3.225,51.762,5.7,37.873,13,17.4,33.5,32.3,74.9,-53.3203218,-53.178
13003,8230,24.244,23.148,49.738,5.6,31.74,32.9,7.7,28.7,35.3,24.7,-46.7511886,-45.2
48281,20915,19.589,10.181,50.787,4.4,50.699,12.6,21.1,25.1,28.2,13.8,-57.1401096,-60.032
16037,4240,4.233,3.303,49.107,6.6,42.704,10.1,26.2,21.6,26.3,3.6,-54.2533771,-55.947
37185,19425,3.944,59.013,49.744,8.4,33.869,22.7,15.2,31.2,39.2,1078.8,25.7262217,33.251
38063,3129,2.561,4.481,49.158,3.7,45.04,9.7,19.4,28.1,31.7,4.2,-31.2324142,-28.867
13055,26619,5.02,13.346,48.76,6.2,34.83,31.9,8.5,26.8,34,83,-61.7910448,-58.756
31073,1844,5.626,2.99,48.353,2.5,55.319,4.9,18,23.6,34.4,3.6,-60.6440072,-62.7
25003,129288,4.266,7.307,51.635,5.6,49.89,9.4,31.3,19.3,23.7,548.3,46.8726923,41.454
20161,71341,8.31,16.268,46.436,3.3,46.468,4.8,45.5,16.6,23.8,13.9,4.5886138,-4.518
46125,8237,2.181,2.875,49.641,2.7,55.708,9.6,19.9,27.9,32.9,3.5,-47.2955145,-47.614
19113,209226,3.028,9.877,50.673,3.7,62.7,5.9,31.7,22.3,31,69.3,13.4397213,8.981
37055,34296,7.002,6.09,50.562,7.5,54.642,8.6,29.4,25,27.4,89.9,-16.5153516,-22.116
8013,303482,13.913,9.387,49.705,3.2,71.546,6,58.2,8.7,13.4,405.6,56.5656369,48.632
13091,19749,3.534,32.066,47.874,8.3,32.293,20.4,14.4,28.8,28.5,44,-45.5018587,-45.533
45071,38763,7.461,34.334,51.052,5.3,42,22.3,17.8,28.1,35.5,60.3,-24.0727819,-22.62
21023,8653,1.586,2.5,50.066,6.4,41.91,17.3,14.6,28.4,32.4,157.8,-61.2158341,-56.876
40081,32199,3.307,14.791,50.074,4.5,46.083,15.4,13.1,34.9,38.8,31.7,-63.1649651,-60.103
31025,25485,3.081,3.038,49.588,3.3,66.522,5.3,24.5,23.7,35.4,14.4,-35.2263805,-39.075
55045,36110,3.001,2.711,50.301,3.8,53.328,8.2,20.9,21.2,31.4,63.1,3.1860226,2.278
46105,2869,4.747,16.476,49.8,3.2,48.379,11.6,18.8,26.6,32.8,36.4,-69.6225284,-32.949
29055,23915,1.92,2.764,50.587,6,37.379,21.8,13.6,27.2,32.4,31.2,-60.2569945,-59.476
12063,50930,4.93,30.387,44.756,5.8,36.876,21.2,14.2,34.1,34.7,54.2,-38.9045007,-37.377
39167,61048,1.159,3.821,50.736,6,45.048,10.9,16.6,32.8,34.8,530,-40.7854891,-41.598
5119,381904,6,41.217,52.067,4.7,45.698,10.2,32,25.6,31.7,503.8,22.5117089,17.679
21177,31274,1.482,6.641,49.129,7.1,38.916,22.5,9.6,31.4,37.8,36.5,-48.8579661,-46.89
12037,11280,5.17,16.98,42.879,4.6,36.788,21.6,16,27.7,32.2,21.6,-37.304716,-39.664
46029,26168,2.097,5.601,50.073,3.1,52.892,9.1,20.3,23.3,31.2,33.6,-38.9104171,-39.335
5031,95457,4.859,18.326,51.402,4.6,42.851,13.5,24.8,30.8,36.4,136.4,-35.4106619,-34.81
46057,5754,3.407,2.133,49.81,3.4,53.944,10,19.3,23.2,30.8,1.1,-55.9519949,-54.164
13195,28232,4.894,12.967,50.803,5.4,45.557,19.6,14.8,29.2,31.9,99.6,-52.9892214,-56.693
31039,9132,9.984,2.532,49.655,2.6,56.047,11.4,18.1,23.4,29.7,25.5,-59.2451135,-59.754
27127,15464,3.038,10.458,49.99,3.9,49.934,12,16.3,24,32.6,9.5,-41.2361178,-42.955
20189,5129,36.514,4.754,50.431,3.8,59.773,16.7,16.3,27.7,34.8,3.3,-74.9876908,-72.801
6087,256218,33.303,12.567,50.439,7.5,64.257,14.5,37.5,13.3,20.2,589.4,60.2808674,57.312
