fips,never,rarely,sometimes,frequently,always
8001,3.2,2.7,7.1,18.5,68.5
8003,5.2,13.3,9.4,22.8,49.3
8005,1.3,2.6,6.5,19.3,70.3
8007,4.1,4.1,15.5,27.6,48.8
8009,11.3,5.3,19.4,20.6,43.5
8011,3.3,3.6,17.2,19.1,56.7
8013,0.8,1.5,3.2,19.5,75
8014,1.8,0.5,4.2,20.1,73.4
8015,3.8,4.5,13.4,13.8,64.5
8017,1.6,18.7,10.6,39.8,29.2
8019,0.2,1.5,13.8,12.3,72.3
8021,6,10.6,9.3,19.5,54.5
8023,3.4,7.2,7.6,17.5,64.4
8025,0.2,3.4,8,29.4,59
8027,1.7,9.8,15.3,23.4,49.8
8029,8.7,9.4,7.4,29.5,45
8031,2,1.8,6.2,19.4,70.7
8033,5.2,3.9,6.6,25.2,59.1
8035,1.3,4.1,8.1,19.2,67.3
8037,0.8,0.3,3.3,26.9,68.7
8039,1.6,4.4,19,24.6,50.5
8041,3.1,8.9,8.1,19.6,60.3
8043,0.6,6.9,6.2,20,66.3
8045,6.5,4,3.7,32.6,53.2
8047,0.1,2.7,1.7,17,78.5
8049,0.6,0.2,5,18.7,75.4
8051,5.7,3.9,4.3,28.1,58.1
8053,4.3,5,11.7,27.1,51.9
8055,2.8,5.1,5.1,27.5,59.5
8057,2.1,2.7,9,34.2,52
8059,2.8,3.1,7.5,19.4,67.3
8061,2.8,5.1,15.9,27,49.2
8063,2.4,32.3,11.9,34.4,19
8065,0.2,1.6,3.6,19.3,75.3
8067,4.3,2,12.2,27.4,54.1
8069,1.3,3.7,6,23.1,65.9
8071,5.2,3,10.1,17,64.8
8073,1.3,6.8,19.6,40.3,32.1
8075,7.8,20.2,10.1,36.8,25.1
8077,7.5,10.5,9.8,22.2,49.9
8079,4.9,7.2,13.8,26.4,47.8
8081,4.1,14.2,16.2,28.4,37.1
8083,5.7,1.9,8.1,25.7,58.6
8085,8.5,9.2,7.4,31.4,43.6
8087,8.3,16.1,11.6,24.5,39.6
8089,0.4,4.7,10.2,19.4,65.3
8091,6,8,6.9,29.5,49.5
8093,2.1,1.8,10.3,13.7,72.2
8095,5,19,13.7,25.5,36.8
8097,1.9,1.4,1.6,31.8,63.3
8099,7.9,4.6,20.5,20.1,46.9
8101,1.8,4.4,7.4,28,58.4
8103,11.1,9.2,7.4,26.5,45.8
8105,6.1,14.4,11,24.2,44.4
8107,0.8,3.6,9.2,37.5,48.9
8109,6.5,12.2,13.8,23.2,44.3
8111,3.2,3.8,9.7,27,56.3
8113,4.3,5.8,7.4,26,56.5
8115,6.5,16.2,13.8,26.7,36.8
8117,0,0.1,6.4,15.1,78.4
8119,10.5,8.7,6.6,14.5,59.7
8121,7.7,20.8,10.1,30.3,31
8123,4.6,3.8,13.5,23.1,55
8125,3.8,28.4,13.3,25.5,29
9001,2.7,1.9,6,11.4,78
9003,1.5,2.3,6.5,13,76.7
9005,1.7,5.1,2.1,9.8,81.2
9007,0.3,0.7,5.5,12.8,80.7
9009,2.3,1.4,5.3,11.5,79.5
9011,2.5,2.1,6.6,14.2,74.7
9013,0.8,0.8,2.7,14.7,81
9015,2.2,4.1,8.2,13.7,71.8
10001,2.6,0.6,10.6,5.1,81.1
10003,2.7,1.3,4.1,13.3,78.6
10005,0.5,0.1,3.5,10.3,85.6
11001,1.2,1.3,6.9,16.4,74.3
12001,0.1,2.4,5.3,17,75.1
12003,8.7,7.6,18,21.5,44.2
12005,6.5,10.9,7.6,20.2,54.8
12007,10.6,16.8,17.2,17.3,38.1
12009,6.8,7.3,9.6,15.7,60.7
12011,2.6,2.3,4.3,11.7,79.1
12013,3.4,5.5,13.8,26.7,50.7
12015,5.1,4.9,10.1,15.8,64
12017,9,3.6,8.7,17.8,60.9
12019,5.5,6.7,15,20.9,52
12021,4,2.3,6.7,21.2,65.8
12023,4.7,2.6,28.8,25.4,38.5
12027,2.3,6.4,5.6,14.2,71.5
12029,7.1,9.5,11.9,31.8,39.7
12031,4.9,4.2,8.6,19.4,62.9
12033,1.9,5.2,9.5,31,52.4
12035,7.9,5,11.3,15.7,60.2
12037,2.2,10.1,23.7,22.8,41.2
12039,6,3.3,10.4,22.7,57.5
12041,1.6,15.1,6.9,32.4,44
12043,4.7,8.2,9.8,9.6,67.7
12045,4.6,12.5,12,24.9,46
12047,10.1,7.1,23.5,22.7,36.5
12049,11.4,4.1,17.9,18.6,48
12051,4.6,4.2,11.2,15,65
12053,9,4,9.1,19,58.9
12055,2.5,5.6,14.5,13.8,63.5
12057,2.3,3.1,6.9,15.5,72.2
12059,17,7.7,8.1,11.1,56.2
12061,5.4,6.5,8.2,19.3,60.7
12063,6.4,10.8,12.9,17.4,52.6
12065,1.9,1.7,9.9,18.3,68.2
12067,10.2,8.1,22,20.8,38.9
12069,4.7,6.2,7.4,18.5,63.2
12071,5.2,5,7.3,17.6,64.8
12073,5.1,2.2,7.1,15.6,70
12075,1.7,13.2,7.2,18.7,59.2
12077,2.2,2.3,20.5,26.8,48.2
12079,16.4,8.5,14.8,26.4,34
12081,7.4,3.7,6.2,20.1,62.6
12083,4.6,8.7,12.1,20.3,54.3
12085,2.7,1.8,6.6,16.9,71.9
12086,3.2,2.3,6,12.8,75.6
12087,0.7,0.1,1.4,15.9,81.9
12089,9,7,14.7,22.3,47
12091,9.1,8.3,14.7,21,46.9
12093,1.6,3.4,6.4,17.1,71.5
12095,2,2,7.2,16.4,72.4
12097,2.5,2.2,5.8,17.6,72
12099,3,2,5,11.6,78.4
12101,2.7,2.9,5.5,17.9,70.9
12103,2.5,1.9,7.4,13.3,75
12105,5,6.3,8.5,17.2,63
12107,6.8,5,11.4,18.6,58.1
12109,4.7,7.1,9.7,22.3,56.1
12111,7.7,2.2,8,17.3,64.8
12113,4.7,6.8,16.6,26.5,45.3
12115,1.7,3.1,7.3,17.5,70.4
12117,3.7,3.9,6.6,14.1,71.7
12119,3.7,3.6,6.4,23.5,62.8
12121,10.5,5.5,24.4,22.7,36.9
12123,10.3,8.6,19,14.5,47.6
12125,4.4,4,17.6,26.7,47.3
12127,3.5,6.6,8.9,19.2,61.8
12129,3.2,9.2,17.2,27.5,42.9
12131,9.2,6,9.2,24.4,51.2
12133,13.8,8.5,6.2,15.8,55.7
13001,8.5,11.7,23,15.2,41.6
13003,5.9,10,17.9,21.7,44.5
13005,7.1,13.2,18.7,18.8,42.1
13007,2.7,4.8,5.4,12.7,74.3
13009,2,8.9,10.7,29,49.4
13011,13.6,10.3,12.5,23.8,39.9
13013,6.3,8.6,9.2,19,56.8
13015,21.5,5,12.3,14.3,47
13017,12.9,7.8,10.9,20.2,48.3
13019,7.3,9.8,15.6,21.4,46
13021,4.3,9.4,17.6,20.1,48.7
